DESCRIP,ID,PARENT_ID,LEVEL,GRP
ASSET,1,,1,1
CURRENT ASSETS,15,1,2,1
CASH & BANK ACCOUNTS,21,15,3,1
AR,22,15,3,1
INVENTORY,23,15,3,1
OTHER CURRENT ASSETS,60,15,3,1
FIXED ASSETS,16,1,2,1
FIXED ASSETS GROSS,158,16,3,1
ACCUMULATED DEPRECIATION,159,16,3,1
OTHER ASSETS,17,1,2,1
LONG TERM ASSETS,24,1,2,1
OTHER ASSETS INTANGIBLE,61,1,2,1
INTANGIBLE ASSETS GROSS,160,61,3,1
ACCUMULATED AMMORTIZATION,161,61,3,1
LIABILITY,2,,1,2
CURRENT LIABILITIES,18,2,2,2
LONG TERM LIABILITIES,19,2,2,2
OWNERS EQUITY,5,,1,5
RETAINED EARNINGS,6,5,2,5
STOCK AND PAID IN CAPITAL,162,5,2,5
REVENUE,3,,1,3
EXPENSE,4,,1,4
AMMORTIZATION DEPRECIATION EXPENSE,37,4,2,4
OTHER,43,4,2,4
COGS,45,4,2,4
COGS STD,46,45,3,4
COGS EXP/VAR,47,45,3,4
COGS OTHER,48,45,3,4
G & A,50,4,2,4
G & A VET,44,50,3,4
G & A FINANCE & LEGAL,151,50,3,4
G & A HR,153,50,3,4
G & A IT,154,50,3,4
G & A FACILITIES,156,50,3,4
R & D,51,4,2,4
MARKETING,52,4,2,4
SELLING,53,4,2,4
INTEREST,55,4,2,4
INC TAXES,56,4,2,4
