"ACCT","FULL_ACCT","FISCALYR","PERIOD","DESCRIP","YTD_BEGINNING","PERIOD_DEBIT","PERIOD_CREDIT","PERIOD_BALANCE","CUMM_PERIOD_BALANCE","EPLANT_ID","COMPANY"
"0001000","10-0000-1000","2013",1,"Petty Cash",0,,,,0,1,"Plasmology4"
"0001001","10-0000-1001","2013",1,"Plaz4 Operational ",0,,,,0,1,"Plasmology4"
"0001002","10-0000-1002","2013",1,"Plaz4 Debit",0,,,,0,1,"Plasmology4"
"0001003","10-0000-1003","2013",1,"Plaz4 Money Market",0,,,,0,1,"Plasmology4"
"0001500","10-0000-1500","2013",1,"Due From Employee",0,,,,0,1,"Plasmology4"
"0001530","10-0000-1530","2013",1,"Income Tax Income Refund",0,,,,0,1,"Plasmology4"
"0001580","10-0000-1580","2013",1,"Receivable from Shareholders",0,,,,0,1,"Plasmology4"
"0001600","10-0000-1600","2013",1,"Security Deposit",0,,,,0,1,"Plasmology4"
"0001660","10-0000-1660","2013",1,"Due from EDGE Orthopaedics",0,,,,0,1,"Plasmology4"
"0001730","10-0000-1730","2013",1,"Goodwill",0,,,,0,1,"Plasmology4"
"0001740","10-0000-1740","2013",1,"Organizational Cost",0,,,,0,1,"Plasmology4"
"0001750","10-0000-1750","2013",1,"Accum Amortization - Goodwill",0,,,,0,1,"Plasmology4"
"0001760","10-0000-1760","2013",1,"Accum Amortization - Organizational",0,,,,0,1,"Plasmology4"
"0001800","10-0000-1800","2013",1,"Machinery & Equipment",0,,,,0,1,"Plasmology4"
"0001850","10-0000-1850","2013",1,"Computer Equipment",0,,,,0,1,"Plasmology4"
"0001860","10-0000-1860","2013",1,"Software",0,,,,0,1,"Plasmology4"
"0001870","10-0000-1870","2013",1,"Leasehold Improvements",0,,,,0,1,"Plasmology4"
"0001899","10-0000-1899","2013",1,"Office Equipment ",0,,,,0,1,"Plasmology4"
"0001900","10-0000-1900","2013",1,"Accum Depreciation - Mach/Equip",0,,,,0,1,"Plasmology4"
"0001950","10-0000-1950","2013",1,"Accum Depreciation - Comp Equip",0,,,,0,1,"Plasmology4"
"0001960","10-0000-1960","2013",1,"Accum Depreciation - Software",0,,,,0,1,"Plasmology4"
"0001970","10-0000-1970","2013",1,"Accum Depreciation - L/H Improve",0,,,,0,1,"Plasmology4"
"0002000","10-0000-2000","2013",1,"Accounts Payable",0,,,,0,1,"Plasmology4"
"0002180","10-0000-2180","2013",1,"Employee HSA Payable",0,,,,0,1,"Plasmology4"
"0002200","10-0000-2200","2013",1,"Wages Payable",0,,,,0,1,"Plasmology4"
"0002270","10-0000-2270","2013",1,"Due To Employee",0,,,,0,1,"Plasmology4"
"0002450","10-0000-2450","2013",1,"Stock Redemption Payable - K.B.",0,,,,0,1,"Plasmology4"
"0002455","10-0000-2455","2013",1,"Stock Redemption Payable - B. B.",0,,,,0,1,"Plasmology4"
"0002456","10-0000-2456","2013",1,"Stock Redemption Payable - R. R.",0,,,,0,1,"Plasmology4"
"0002600","10-0000-2600","2013",1,"Warrants",0,,,,0,1,"Plasmology4"
"0002700","10-0000-2700","2013",1,"Common Stock",0,,,,0,1,"Plasmology4"
"0002800","10-0000-2800","2013",1,"Treasury Stock",0,,,,0,1,"Plasmology4"
"0002900","10-0000-2900","2013",1,"Series A Stock",0,,,,0,1,"Plasmology4"
"0003100","10-0000-3100","2013",1,"Retained Earnings",0,,,,0,1,"Plasmology4"
"0003198","10-0000-3198","2013",1,"Net Income",0,,,,0,1,"Plasmology4"
"5157680","10-5015-7680","2013",1,"Quality & Regulatory",0,,,,0,1,"Plasmology4"
"6007580","10-6000-7580","2013",1,"Consulting",0,,,,0,1,"Plasmology4"
"6007650","10-6000-7650","2013",1,"Research & Development",0,,,,0,1,"Plasmology4"
"6077690","10-6007-7690","2013",1,"Veterinary",0,,,,0,1,"Plasmology4"
"7107530","10-7010-7530","2013",1,"Accounting Fees",0,,,,0,1,"Plasmology4"
"7107800","10-7010-7800","2013",1,"Business Meeting Expenses",0,,,,0,1,"Plasmology4"
"7107820","10-7010-7820","2013",1,"Meals & Entertainment",0,,,,0,1,"Plasmology4"
"7107840","10-7010-7840","2013",1,"Lodging",0,,,,0,1,"Plasmology4"
"7107850","10-7010-7850","2013",1,"Transportation",0,,,,0,1,"Plasmology4"
"7107860","10-7010-7860","2013",1,"Other Travel ",0,,,,0,1,"Plasmology4"
"7107870","10-7010-7870","2013",1,"Mileage Reimbursement ",0,,,,0,1,"Plasmology4"
"7107910","10-7010-7910","2013",1,"Postage & Delivery",0,,,,0,1,"Plasmology4"
