"ACCT","FULL_ACCT","ACCT_DESCRIP","MAJORTYPE","TYPE_DESCRIP","GLA_ID","GSA_ID","GSA_PARENT_ID"
"00001000","10-0000-1000","Petty Cash","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"00001001","10-0000-1001","Plaz4 Operational ","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"00001002","10-0000-1002","Plaz4 Debit","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"00001003","10-0000-1003","Plaz4 Money Market","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"00001005","10-0000-1005","AZ Biz Bank Checking ","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"00001006","10-0000-1006","AZ Biz Bank ICS Savings","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"00001007","10-0000-1007","AZ Biz Bank Credit Card","LIABILITY","CURRENT LIABILITIES","0","0","0"
"00001050","10-0000-1050","Accounts Receivable","ASSET","AR","0","0","0"
"00001140","10-0000-1140","Work In Progress Inventory","ASSET","INVENTORY","0","0","0"
"00001201","10-0000-1201","Inventory - Components","ASSET","INVENTORY","0","0","0"
"00001203","10-0000-1203","Inventory - Raw Materials","ASSET","INVENTORY","0","0","0"
"00001280","10-0000-1280","Reserve for Inventory Loss - Valuation","ASSET","INVENTORY","0","0","0"
"00001500","10-0000-1500","Due From Employee","ASSET","OTHER CURRENT ASSETS","0","0","0"
"00001530","10-0000-1530","Income Tax Income Refund","ASSET","OTHER CURRENT ASSETS","0","0","0"
"00001550","10-0000-1550","Prepaid Insurance","ASSET","OTHER CURRENT ASSETS","0","0","0"
"00001560","10-0000-1560","Prepaid Expenses","ASSET","OTHER CURRENT ASSETS","0","0","0"
"00001580","10-0000-1580","Receivable from Shareholders","ASSET","OTHER CURRENT ASSETS","0","0","0"
"00001600","10-0000-1600","Security Deposit","ASSET","OTHER ASSETS","0","0","0"
"00001660","10-0000-1660","Due from EDGE Orthopaedics","ASSET","OTHER ASSETS","0","0","0"
"00001730","10-0000-1730","Goodwill","ASSET","INTANGIBLE ASSETS GROSS","0","0","0"
"00001731","10-0000-1731","Intellectual Property - EDGE Acq.","ASSET","INTANGIBLE ASSETS GROSS","0","0","0"
"00001740","10-0000-1740","Organizational Cost","ASSET","INTANGIBLE ASSETS GROSS","0","0","0"
"00001750","10-0000-1750","Accum Amortization - Goodwill","ASSET","ACCUMULATED AMMORTIZATION","0","0","0"
"00001751","10-0000-1751","Accum Amortization - Intellectual Property - EDGE ","ASSET","ACCUMULATED AMMORTIZATION","0","0","0"
"00001760","10-0000-1760","Accum Amortization - Organizational","ASSET","ACCUMULATED AMMORTIZATION","0","0","0"
"00001800","10-0000-1800","Machinery & Equipment","ASSET","FIXED ASSETS GROSS","0","0","0"
"00001820","10-0000-1820","Tooling","ASSET","FIXED ASSETS GROSS","0","0","0"
"00001840","10-0000-1840","Furniture & Fixtures","ASSET","FIXED ASSETS GROSS","0","0","0"
"00001850","10-0000-1850","Computer Equipment","ASSET","FIXED ASSETS GROSS","0","0","0"
"00001860","10-0000-1860","Software","ASSET","FIXED ASSETS GROSS","0","0","0"
"00001870","10-0000-1870","Leasehold Improvements","ASSET","FIXED ASSETS GROSS","0","0","0"
