"ACCT","FULL_ACCT","ACCT_DESCRIP","MAJORTYPE","TYPE_DESCRIP","GLA_ID","GSA_ID","GSA_PARENT_ID"
"0001000","10-0000-1000","Petty Cash","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"0001001","10-0000-1001","Plaz4 Operational ","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"0001002","10-0000-1002","Plaz4 Debit","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"0001003","10-0000-1003","Plaz4 Money Market","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"0001005","10-0000-1005","AZ Biz Bank Checking ","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"0001006","10-0000-1006","AZ Biz Bank ICS Savings","ASSET","CASH & BANK ACCOUNTS","0","0","0"
"0001007","10-0000-1007","AZ Biz Bank Credit Card","LIABILITY","CURRENT LIABILITIES","0","0","0"
"0001050","10-0000-1050","Accounts Receivable","ASSET","AR","0","0","0"
"0001140","10-0000-1140","Work In Progress Inventory","ASSET","INVENTORY","0","0","0"
"0001201","10-0000-1201","Inventory - Components","ASSET","INVENTORY","0","0","0"
"0001203","10-0000-1203","Inventory - Raw Materials","ASSET","INVENTORY","0","0","0"
"0001280","10-0000-1280","Reserve for Inventory Loss - Valuation","ASSET","INVENTORY","0","0","0"
"0001500","10-0000-1500","Due From Employee","ASSET","OTHER CURRENT ASSETS","0","0","0"
"0001530","10-0000-1530","Income Tax Income Refund","ASSET","OTHER CURRENT ASSETS","0","0","0"
"0001550","10-0000-1550","Prepaid Insurance","ASSET","OTHER CURRENT ASSETS","0","0","0"
"0001560","10-0000-1560","Prepaid Expenses","ASSET","OTHER CURRENT ASSETS","0","0","0"
"0001580","10-0000-1580","Receivable from Shareholders","ASSET","OTHER CURRENT ASSETS","0","0","0"
"0001600","10-0000-1600","Security Deposit","ASSET","OTHER ASSETS","0","0","0"
"0001660","10-0000-1660","Due from EDGE Orthopaedics","ASSET","OTHER ASSETS","0","0","0"
"0001730","10-0000-1730","Goodwill","ASSET","INTANGIBLE ASSETS GROSS","0","0","0"
"0001731","10-0000-1731","Intellectual Property - EDGE Acq.","ASSET","INTANGIBLE ASSETS GROSS","0","0","0"
"0001740","10-0000-1740","Organizational Cost","ASSET","INTANGIBLE ASSETS GROSS","0","0","0"
"0001750","10-0000-1750","Accum Amortization - Goodwill","ASSET","ACCUMULATED AMMORTIZATION","0","0","0"
"0001751","10-0000-1751","Accum Amortization - Intellectual Property - EDGE ","ASSET","ACCUMULATED AMMORTIZATION","0","0","0"
"0001760","10-0000-1760","Accum Amortization - Organizational","ASSET","ACCUMULATED AMMORTIZATION","0","0","0"
"0001800","10-0000-1800","Machinery & Equipment","ASSET","FIXED ASSETS GROSS","0","0","0"
"0001820","10-0000-1820","Tooling","ASSET","FIXED ASSETS GROSS","0","0","0"
"0001840","10-0000-1840","Furniture & Fixtures","ASSET","FIXED ASSETS GROSS","0","0","0"
"0001850","10-0000-1850","Computer Equipment","ASSET","FIXED ASSETS GROSS","0","0","0"
"0001860","10-0000-1860","Software","ASSET","FIXED ASSETS GROSS","0","0","0"
"0001870","10-0000-1870","Leasehold Improvements","ASSET","FIXED ASSETS GROSS","0","0","0"
"0001899","10-0000-1899","Office Equipment ","ASSET","FIXED ASSETS GROSS","0","0","0"
"0001900","10-0000-1900","Accum Depreciation - Mach/Equip","ASSET","ACCUMULATED DEPRECIATION","0","0","0"
"0001920","10-0000-1920","Accum Depreciation - Tooling","ASSET","ACCUMULATED DEPRECIATION","0","0","0"
"0001940","10-0000-1940","Accum Depreciation - Furn & Fix","ASSET","ACCUMULATED DEPRECIATION","0","0","0"
"0001950","10-0000-1950","Accum Depreciation - Comp Equip","ASSET","ACCUMULATED DEPRECIATION","0","0","0"
"0001960","10-0000-1960","Accum Depreciation - Software","ASSET","ACCUMULATED DEPRECIATION","0","0","0"
"0001965","10-0000-1965","Accum Depreciation - Office Equipment","ASSET","ACCUMULATED DEPRECIATION","0","0","0"
"0001970","10-0000-1970","Accum Depreciation - L/H Improve","ASSET","ACCUMULATED DEPRECIATION","0","0","0"
"0002000","10-0000-2000","Accounts Payable","LIABILITY","CURRENT LIABILITIES","0","0","0"
"0002010","10-0000-2010","Accrued Receipts","LIABILITY","CURRENT LIABILITIES","0","0","0"
"0002070","10-0000-2070","Sales Tax Payable ","LIABILITY","CURRENT LIABILITIES","0","0","0"
"0002130","10-0000-2130","Payroll Taxes Payable ","LIABILITY","CURRENT LIABILITIES","0","0","0"
"0002180","10-0000-2180","Employee HSA Payable","LIABILITY","CURRENT LIABILITIES","0","0","0"
"0002200","10-0000-2200","Wages Payable","LIABILITY","CURRENT LIABILITIES","0","0","0"
"0002210","10-0000-2210","Accrued PTO","LIABILITY","CURRENT LIABILITIES","0","0","0"
"0002250","10-0000-2250","Accrued Expenses","LIABILITY","CURRENT LIABILITIES","0","0","0"
"0002270","10-0000-2270","Due To Employee","LIABILITY","CURRENT LIABILITIES","0","0","0"
